loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
647,GJ 367 b,GJ 367,1,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,0.3219225,0.0000002,-0.0000002,0,0.00709,0.00027,-0.00027,0,0.699,0.024,-0.024,0,0.062,0.002,-0.002,0,0.633,0.05,-0.05,0,0.00199,0.00016,-0.00016,0,Mass,0.06,0.07,-0.04,0,579,57,-52,0,1365,32,-32,0,0,<a refstr=GOFFO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230709181G/abstract target=ref>Goffo et al. 2023</a>,M1.0 V,3522,70,-70,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,-0.01,0.12,-0.12,0,[Fe/H],4.78,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h44m29.15s,146.121464,-45d46m44.46s,-45.7790165,9.41263,0.002835,-0.002835,10.153,0.044,-0.044,5.78,0.02,-0.02,9.15159,0.00065,-0.00065,8/10/2023,2023-07,8/10/2023
652,GJ 3929 b,GJ 3929,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2.616235,0.000005,-0.000005,0,0.0252,0.0005,-0.0005,0,1.09,0.04,-0.04,0,0.097,0.004,-0.004,0,1.75,0.44,-0.45,0,0.00551,0.00138,-0.00142,0,Mass,0,,,0,17.3,0.7,-0.7,0,568,6,-6,0,0,<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,,3384,88,-88,0,0.32,0.01,-0.01,0,0.31,0.03,-0.02,0,-0.02,0.12,-0.12,0,[Fe/H],4.89,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h58m18.62s,239.5775678,+35d24m29.21s,35.4081141,15.8095,0.0096,-0.0095,12.675,0.023,-0.023,7.869,0.02,-0.02,11.5109,0.000681,-0.000681,8/1/2022,2022-07,8/1/2022
770,GJ 806 b,GJ 806,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,0.9263237,0.0000009,-0.0000009,0,0.01406,0.0003,-0.0003,0,1.331,0.023,-0.023,0,0.119,0.002,-0.002,0,1.9,0.17,-0.17,0,0.00598,0.00053,-0.00053,0,Mass,,,,,130,6,-6,0,940,10,-10,0,0,<a refstr=PALLE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...678A..80P/abstract target=ref>Palle et al. 2023</a>,M1.5 V,3600,16,-16,0,0.41,0,0,0,0.41,0.01,-0.01,0,-0.28,0.07,-0.07,0,[Fe/H],4.98,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m04.73s,311.2697002,+44d30m00.85s,44.5002351,12.0445,0.00435,-0.00435,10.79,0.1,-0.1,6.533,0.016,-0.016,9.82461,0.000759,-0.000759,11/28/2023,2023-10,11/28/2023
874,Gliese 12 b,Gliese 12,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,12.761408,0.00005,-0.00005,0,0.0668,0.0024,-0.0024,0,0.958,0.046,-0.048,0,0.085,0.004,-0.004,0,3.87,,,1,0.01218,,,1,Mass,0.5,,,1,1.62,0.13,-0.11,0,315,6,-5,0,0,<a refstr=KUZUHARA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...967L..21K/abstract target=ref>Kuzuhara et al. 2024</a>,M3.0 V,3296,48,-36,0,0.26,0.01,-0.01,0,0.24,0.01,-0.01,0,-0.32,0.06,-0.06,0,[Fe/H],5.21,0.07,-0.07,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h15m49.90s,3.9579137,+13d33m27.42s,13.5576175,12.21,0.01305,-0.01305,12.6,0.042,-0.042,7.807,0.02,-0.02,11.3963,0.001756,-0.001756,5/21/2024,2024-06,5/21/2024
1873,HD 108236 b,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,3.795963,0.000025,-0.000034,0,0.04527,0.00096,-0.00088,0,1.615,0.051,-0.051,0,0.144,0.005,-0.005,0,,,,,,,,,,0.045,0.039,-0.033,0,,,,,,,,,1,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,1/21/2021,2021-02,1/28/2021
1877,HD 108236 c,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,6.203449,0.000049,-0.000046,0,0.062,0.0012,-0.0012,0,2.071,0.052,-0.052,0,0.185,0.005,-0.005,0,,,,,,,,,,0.034,0.042,-0.025,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,1/21/2021,2021-02,1/28/2021
1883,HD 108236 d,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,14.175685,0.000083,-0.0001,0,0.1074,0.0023,-0.0023,0,2.539,0.062,-0.065,0,0.227,0.006,-0.006,0,,,,,,,,,,0.055,0.038,-0.035,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,1/21/2021,2021-02,1/28/2021
1886,HD 108236 e,HD 108236,1,1,5,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,19.590025,0.000083,-0.000089,0,0.1367,0.0022,-0.002,0,3.083,0.052,-0.052,0,0.275,0.005,-0.005,0,,,,,,,,,,0.058,0.032,-0.036,0,,,,,,,,,0,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,,5660,61,-61,0,0.88,0.01,-0.01,0,0.87,0.05,-0.05,0,-0.28,0.04,-0.04,0,[Fe/H],4.49,0.11,-0.11,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978,0.1943,-0.1932,9.25,0.03,-0.03,7.637,0.031,-0.031,9.08745,0.000157,-0.000157,1/21/2021,2021-02,1/28/2021
1916,HD 109833 b,HD 109833,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,9.188526,0.000026,-0.000026,0,,,,,2.888,0.152,-0.127,0,0.258,0.014,-0.011,0,,,,,,,,,,0.18,0.24,-0.12,0,,,,,,,,,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,,5881,50,-50,0,1,0.04,-0.04,0,1.08,0.05,-0.05,0,-0.07,0.08,-0.08,0,[M/H],4.45,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h39m06.21s,189.7758591,-74d34m26.47s,-74.5740205,79.5561,0.1488,-0.1483,9.29,0.03,-0.03,7.82,0.026,-0.026,9.13657,0.000402,-0.000402,12/17/2022,2022-12,12/17/2022
1919,HD 109833 c,HD 109833,1,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,13.900148,0.000057,-0.000057,0,,,,,2.59,0.196,-0.175,0,0.231,0.017,-0.016,0,,,,,,,,,,0.3,0.21,-0.19,0,,,,,,,,,0,<a refstr=WOOD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221203266W/abstract target=ref>Wood et al. 2022</a>,,5881,50,-50,0,1,0.04,-0.04,0,1.08,0.05,-0.05,0,-0.07,0.08,-0.08,0,[M/H],4.45,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h39m06.21s,189.7758591,-74d34m26.47s,-74.5740205,79.5561,0.1488,-0.1483,9.29,0.03,-0.03,7.82,0.026,-0.026,9.13657,0.000402,-0.000402,12/17/2022,2022-12,12/17/2022
1930,HD 110082 b,HD 110082,1,2,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=TOFFLEMIRE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..171T/abstract target=ref>Tofflemire et al. 2021</a>,10.18271,0.00004,-0.00004,0,0.113,0.009,-0.013,0,3.2,0.1,-0.1,0,0.285,0.009,-0.009,0,,,,,,,,,,0.2,0.2,-0.1,0,,,,,,,,,0,<a refstr=TOFFLEMIRE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..171T/abstract target=ref>Tofflemire et al. 2021</a>,F8 V,6200,100,-100,0,1.19,0.06,-0.06,0,1.21,0.06,-0.06,0,0.08,0.05,-0.05,0,[Fe/H],4.2,0.3,-0.3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h50m21.43s,192.5892855,-88d07m16.00s,-88.1211107,105.096,0.266,-0.266,9.23,0.03,-0.03,8.002,0.031,-0.031,9.11523,0.00034,-0.00034,2/25/2021,2021-04,3/4/2021
